RX,RY,RZ,TX,TY,TZ
1.02866,-0.765289,-1.1337,10.2334,-1783.71,1725.53
1.0284,-0.765582,-1.13398,10.083,-1783.74,1725.5
1.02625,-0.762966,-1.13463,9.82449,-1783.61,1725.42
1.02776,-0.763769,-1.13542,9.71389,-1783.68,1725.38
1.03057,-0.770178,-1.14083,9.34061,-1783.8,1725.3
1.03069,-0.770443,-1.14105,9.16813,-1783.76,1725.21
1.03238,-0.780127,-1.13706,9.183,-1783.81,1724.91
1.03543,-0.778233,-1.13181,9.23403,-1783.61,1724.83
1.02667,-0.776175,-1.13433,8.84985,-1783.51,1724.82
1.0257,-0.76972,-1.14116,8.56562,-1783.38,1725.07
1.0281,-0.77992,-1.13695,8.52858,-1783.36,1724.83
1.02583,-0.775873,-1.13564,8.30916,-1783.03,1724.78
1.02991,-0.784058,-1.13586,8.30063,-1782.97,1724.74
1.03004,-0.785385,-1.13784,8.09064,-1782.73,1724.72
1.02531,-0.779569,-1.14115,7.62029,-1782.31,1724.79
1.02571,-0.781266,-1.14302,7.38498,-1781.97,1724.84
1.02862,-0.786391,-1.14754,7.13549,-1781.67,1724.9
1.03394,-0.797242,-1.14738,7.12725,-1781.34,1724.83
1.02883,-0.787338,-1.15018,6.49728,-1780.4,1724.76
1.02527,-0.78919,-1.15293,6.15175,-1779.78,1724.78
1.02408,-0.791257,-1.15512,5.85668,-1779.07,1724.79
1.02746,-0.800349,-1.15499,5.76526,-1778.37,1724.77
1.02631,-0.796283,-1.15743,5.347,-1777.39,1724.87
1.02389,-0.797858,-1.15858,4.94001,-1776.28,1724.87
1.0255,-0.809708,-1.16202,4.69533,-1775.33,1724.79
1.02146,-0.808106,-1.16595,4.19876,-1774.02,1724.84
1.01891,-0.812525,-1.16828,3.81439,-1772.62,1724.74
1.01099,-0.814806,-1.17147,3.27459,-1771.09,1724.64
1.01594,-0.829468,-1.17194,3.24077,-1769.7,1724.49
1.00617,-0.825268,-1.17668,2.54606,-1767.78,1724.39
1.00238,-0.828844,-1.17765,2.2789,-1765.97,1724.32
1.00281,-0.836081,-1.18144,2.05398,-1764.21,1724.23
